1,8,64,57,64
2,16,63,49,64
10,16,64,58,49
2,8,56,50,49
9,15,63,57,49
1,7,55,49,49
9,7,56,58,64
3,24,62,41,64
11,24,63,50,49
3,16,55,42,49
10,23,62,49,49
2,15,54,41,49
19,24,64,59,36
11,16,56,51,36
3,8,48,43,36
18,23,63,58,36
10,15,55,50,36
2,7,47,42,36
17,22,62,57,36
9,14,54,49,36
1,6,46,41,36
18,15,56,59,49
10,7,48,51,49
17,14,55,58,49
9,6,47,50,49
17,6,48,59,64
4,32,61,33,64
12,32,62,42,49
4,24,54,34,49
11,31,61,41,49
3,23,53,33,49
20,32,63,51,36
12,24,55,43,36
4,16,47,35,36
19,31,62,50,36
11,23,54,42,36
3,15,46,34,36
18,30,61,49,36
10,22,53,41,36
2,14,45,33,36
28,32,64,60,25
20,24,56,52,25
12,16,48,44,25
4,8,40,36,25
27,31,63,59,25
19,23,55,51,25
11,15,47,43,25
3,7,39,35,25
26,30,62,58,25
18,22,54,50,25
10,14,46,42,25
2,6,38,34,25
25,29,61,57,25
17,21,53,49,25
9,13,45,41,25
1,5,37,33,25
27,23,56,60,36
19,15,48,52,36
11,7,40,44,36
26,22,55,59,36
18,14,47,51,36
10,6,39,43,36
25,21,54,58,36
17,13,46,50,36
9,5,38,42,36
26,14,48,60,49
18,6,40,52,49
25,13,47,59,49
17,5,39,51,49
25,5,40,60,64
13,40,61,34,49
5,32,53,26,49
12,39,60,33,49
4,31,52,25,49
21,40,62,43,36
13,32,54,35,36
5,24,46,27,36
20,39,61,42,36
12,31,53,34,36
4,23,45,26,36
19,38,60,41,36
11,30,52,33,36
3,22,44,25,36
29,40,63,52,25
21,32,55,44,25
13,24,47,36,25
5,16,39,28,25
28,39,62,51,25
20,31,54,43,25
12,23,46,35,25
4,15,38,27,25
27,38,61,50,25
19,30,53,42,25
11,22,45,34,25
3,14,37,26,25
26,37,60,49,25
18,29,52,41,25
10,21,44,33,25
2,13,36,25,25
37,40,64,61,16
29,32,56,53,16
21,24,48,45,16
13,16,40,37,16
5,8,32,29,16
36,39,63,60,16
28,31,55,52,16
20,23,47,44,16
12,15,39,36,16
4,7,31,28,16
35,38,62,59,16
27,30,54,51,16
19,22,46,43,16
11,14,38,35,16
3,6,30,27,16
34,37,61,58,16
26,29,53,50,16
18,21,45,42,16
10,13,37,34,16
2,5,29,26,16
33,36,60,57,16
25,28,52,49,16
17,20,44,41,16
9,12,36,33,16
1,4,28,25,16
36,31,56,61,25
28,23,48,53,25
20,15,40,45,25
12,7,32,37,25
35,30,55,60,25
27,22,47,52,25
19,14,39,44,25
11,6,31,36,25
34,29,54,59,25
26,21,46,51,25
18,13,38,43,25
10,5,30,35,25
33,28,53,58,25
25,20,45,50,25
17,12,37,42,25
9,4,29,34,25
35,22,48,61,36
27,14,40,53,36
19,6,32,45,36
34,21,47,60,36
26,13,39,52,36
18,5,31,44,36
33,20,46,59,36
25,12,38,51,36
17,4,30,43,36
30,48,62,44,25
22,40,54,36,25
14,32,46,28,25
6,24,38,20,25
29,47,61,43,25
21,39,53,35,25
13,31,45,27,25
5,23,37,19,25
28,46,60,42,25
20,38,52,34,25
12,30,44,26,25
4,22,36,18,25
27,45,59,41,25
19,37,51,33,25
11,29,43,25,25
3,21,35,17,25
38,48,63,53,16
30,40,55,45,16
22,32,47,37,16
14,24,39,29,16
6,16,31,21,16
37,47,62,52,16
29,39,54,44,16
21,31,46,36,16
13,23,38,28,16
5,15,30,20,16
36,46,61,51,16
28,38,53,43,16
20,30,45,35,16
12,22,37,27,16
4,14,29,19,16
35,45,60,50,16
27,37,52,42,16
19,29,44,34,16
11,21,36,26,16
3,13,28,18,16
34,44,59,49,16
26,36,51,41,16
18,28,43,33,16
10,20,35,25,16
2,12,27,17,16
46,48,64,62,9
38,40,56,54,9
30,32,48,46,9
22,24,40,38,9
14,16,32,30,9
6,8,24,22,9
45,47,63,61,9
37,39,55,53,9
29,31,47,45,9
21,23,39,37,9
13,15,31,29,9
5,7,23,21,9
44,46,62,60,9
36,38,54,52,9
28,30,46,44,9
20,22,38,36,9
12,14,30,28,9
4,6,22,20,9
43,45,61,59,9
35,37,53,51,9
27,29,45,43,9
19,21,37,35,9
11,13,29,27,9
3,5,21,19,9
42,44,60,58,9
34,36,52,50,9
26,28,44,42,9
18,20,36,34,9
10,12,28,26,9
2,4,20,18,9
41,43,59,57,9
33,35,51,49,9
25,27,43,41,9
17,19,35,33,9
9,11,27,25,9
1,3,19,17,9
45,39,56,62,16
37,31,48,54,16
29,23,40,46,16
21,15,32,38,16
13,7,24,30,16
44,38,55,61,16
36,30,47,53,16
28,22,39,45,16
20,14,31,37,16
12,6,23,29,16
43,37,54,60,16
35,29,46,52,16
27,21,38,44,16
19,13,30,36,16
11,5,22,28,16
42,36,53,59,16
34,28,45,51,16
26,20,37,43,16
18,12,29,35,16
10,4,21,27,16
41,35,52,58,16
33,27,44,50,16
25,19,36,42,16
17,11,28,34,16
9,3,20,26,16
47,56,63,54,9
39,48,55,46,9
31,40,47,38,9
23,32,39,30,9
15,24,31,22,9
7,16,23,14,9
46,55,62,53,9
38,47,54,45,9
30,39,46,37,9
22,31,38,29,9
14,23,30,21,9
6,15,22,13,9
45,54,61,52,9
37,46,53,44,9
29,38,45,36,9
21,30,37,28,9
13,22,29,20,9
5,14,21,12,9
44,53,60,51,9
36,45,52,43,9
28,37,44,35,9
20,29,36,27,9
12,21,28,19,9
4,13,20,11,9
43,52,59,50,9
35,44,51,42,9
27,36,43,34,9
19,28,35,26,9
11,20,27,18,9
3,12,19,10,9
42,51,58,49,9
34,43,50,41,9
26,35,42,33,9
18,27,34,25,9
10,19,26,17,9
2,11,18,9,9
55,56,64,63,4
47,48,56,55,4
39,40,48,47,4
31,32,40,39,4
23,24,32,31,4
15,16,24,23,4
7,8,16,15,4
54,55,63,62,4
46,47,55,54,4
38,39,47,46,4
30,31,39,38,4
22,23,31,30,4
14,15,23,22,4
6,7,15,14,4
53,54,62,61,4
45,46,54,53,4
37,38,46,45,4
29,30,38,37,4
21,22,30,29,4
13,14,22,21,4
5,6,14,13,4
52,53,61,60,4
44,45,53,52,4
36,37,45,44,4
28,29,37,36,4
20,21,29,28,4
12,13,21,20,4
4,5,13,12,4
51,52,60,59,4
43,44,52,51,4
35,36,44,43,4
27,28,36,35,4
19,20,28,27,4
11,12,20,19,4
3,4,12,11,4
50,51,59,58,4
42,43,51,50,4
34,35,43,42,4
26,27,35,34,4
18,19,27,26,4
10,11,19,18,4
2,3,11,10,4
49,50,58,57,4
41,42,50,49,4
33,34,42,41,4
25,26,34,33,4
17,18,26,25,4
9,10,18,17,4
1,2,10,9,4
